Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Category
40,164.12,0.604,0.886,9,-4.324,0,0.0304,0.000727,0.0,0.0997,0.439,133.064,4,Favoritas
54,169.657,0.748,0.649,6,-5.444,1,0.11,0.124,2.04e-06,0.172,0.937,94.978,4,Favoritas
62,157.346,0.627,0.511,10,-9.281,0,0.49,0.245,0.0,0.0875,0.596,96.994,4,Favoritas
42,189.31,0.634,0.885,7,-3.554,1,0.0276,0.00208,0.0,0.327,0.925,114.98,4,Favoritas
60,136.082,0.776,0.589,5,-5.993,0,0.301,0.256,8.08e-06,0.163,0.637,96.771,4,Favoritas
45,207.386,0.806,0.757,9,-9.633,0,0.178,0.242,0.0,0.0946,0.966,95.02,4,Favoritas
11,159.683,0.52,0.886,9,-6.818,0,0.0372,0.00303,4.07e-05,0.0995,0.964,160.068,4,Favoritas
17,195.475,0.826,0.784,11,-7.571,0,0.0616,0.5,0.00531,0.0915,0.927,114.109,4,Favoritas
34,227.319,0.531,0.714,4,-4.959,1,0.0302,0.0166,0.0,0.282,0.477,88.035,4,Favoritas
14,175.055,0.477,0.824,0,-6.481,1,0.0492,0.0589,0.00246,0.0858,0.214,163.991,4,Favoritas
63,158.571,0.66,0.942,4,-2.273,1,0.185,0.00789,1.76e-05,0.834,0.543,126.017,4,Favoritas
0,173.68,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,4,Favoritas
45,225.933,0.662,0.806,11,-6.389,1,0.0299,0.00561,0.0037,0.125,0.922,120.029,4,Favoritas
44,183.866,0.324,0.395,0,-8.169,0,0.0345,0.871,0.0,0.134,0.277,151.826,4,Favoritas
58,205.226,0.545,0.59,9,-7.257,0,0.0813,0.599,0.0,0.0916,0.583,100.835,3,Favoritas
48,389.68,0.512,0.465,5,-12.664,1,0.246,0.717,0.0,0.721,0.343,78.177,4,Favoritas
63,238.733,0.888,0.816,11,-4.909,0,0.0404,0.233,0.00042,0.127,0.961,127.276,4,Favoritas
59,146.08,0.718,0.995,11,-5.583,1,0.105,0.00055,0.119,0.229,0.199,143.967,4,Favoritas
82,178.156,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4,Favoritas
60,208.296,0.536,0.845,2,-5.765,1,0.0615,0.0033,0.0,0.0465,0.6,159.953,4,Favoritas
71,216.72,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,4,Favoritas
50,162.773,0.392,0.307,2,-13.074,0,0.0333,0.96,0.0451,0.0854,0.338,136.883,3,Favoritas
53,138.75,0.386,0.959,9,-0.163,1,0.0965,0.0594,0.0,0.505,0.263,159.899,4,Favoritas
54,217.333,0.604,0.789,5,-2.437,0,0.137,0.0104,0.292,0.338,0.563,135.02,4,Favoritas
